NOC,Gold,Silver,Bronze,Total,Weighted Score,GDP (PPP),Population,HDI,Total Score
Refugee Olympic Team,0.0,0.0,0.038461538,0.019230769,0.076923076,1285404930.0,69029067.05555555,0.38,351.0732877016503
China,5.076111164,3.350849078,1.925099952,3.435164488,68.014707856,34643700000000.0,1410710000.0,0.788,165.21562430744964
Ethiopia,0.020833333,0.0625,0.0,0.027586207,0.45833333,393408000000.0,126527060.0,0.492,123.25421317146507
Fiji,0.0,0.5,0.0,0.166666667,2.0,14089135375.0,936375.0,0.729,111.19841050383941
Uzbekistan,0.631837607,0.225,0.094444444,0.269764957,7.407264958000001,354100000000.0,36412350.0,0.727,96.36140892317883
Serbia,0.766666667,0.125,0.25,0.370138889,8.66666667,181346000000.0,6618026.0,0.805,86.63872599129039
New Zealand,1.433170996,0.6879329,0.216883117,0.777532539,17.517207794,282621000000.0,5223100.0,0.939,85.11256295775387
Hungary,0.789414414,0.380482456,0.354248366,0.498270962,10.124570696000001,440580000000.0,9589872.0,0.851,79.56328322394565
France,2.231971744,4.212358913,2.359547397,2.937740049,43.888247886,4169070000000.0,68170228.0,0.91,71.63984465128102
Netherlands,1.940771616,0.371482684,1.600329829,1.303832023,24.094306554,1398450000000.0,17879488.0,0.946,65.93197949650907
Brazil,0.372222222,1.261111111,1.490667947,1.057409309,11.748002558,4454930000000.0,216422446.0,0.76,64.18153055889118
Bulgaria,0.211111111,0.055555556,0.200961538,0.163107032,2.73525641,248788000000.0,6430370.0,0.799,58.21647546520889
Australia,1.333886159,1.82358453,0.825171467,1.341082144,22.283542644,1841120000000.0,26638544.0,0.946,52.719491105319165
Croatia,0.138095238,0.7,0.14957483,0.334178298,4.48010204,176899000000.0,3853200.0,0.878,51.483930995885345
Great Britain,1.491944054,2.000393028,2.876183134,2.121701185,28.67337892,4026240000000.0,68350000.0,0.94,47.04598629693452
South Korea,1.816666667,0.916666667,1.328739316,1.355323112,24.490811970000003,2794200000000.0,51712619.0,0.929,45.79022167328922
United States,3.326786202,3.699681021,4.251277327,3.774641053,56.569140758,27360900000000.0,334914895.0,0.927,45.32827375500078
Azerbaijan,0.133333333,0.201923077,0.083333333,0.125480769,2.3076923039999997,239521000000.0,10112555.0,0.76,44.13845948892102
Denmark,0.7,0.266666667,0.694555853,0.569587456,9.455778374,456059000000.0,5946952.0,0.952,41.067517217853165
Japan,1.998611111,1.973538012,1.641520468,1.827521722,31.163304093999997,6251560000000.0,124516650.0,0.92,40.89939181850291
Egypt,0.5,0.1,0.083333333,0.227777778,5.566666666000001,2120930000000.0,112716598.0,0.728,40.512491443819144
Georgia,0.222222222,0.188888889,0.038461538,0.13034188,3.054700852,92810510894.0,3760365.0,0.814,39.326781304299196
Germany,1.549844487,2.421770335,0.821177655,1.597952434,26.82788152,5857860000000.0,84482267.0,0.95,39.21781876862544
Ukraine,0.181089744,0.295833333,0.151927438,0.19795485,3.298085648,621258000000.0,37000000.0,0.734,38.911495827041186
Morocco,0.020833333,0.0,0.5,0.173563218,1.2083333299999999,374409000000.0,37840044.0,0.698,38.89558411413476
Iran,0.236111111,0.472222222,0.118055556,0.236111111,4.4861111099999995,1598120000000.0,89172767.0,0.78,36.29015534189489
Kenya,0.083333333,0.041666667,0.102040816,0.075862069,1.20408163,348430000000.0,55100586.0,0.601,35.708651552131236
Lithuania,0.0,0.520833333,0.321428571,0.280706076,2.726190474,148985000000.0,2871897.0,0.879,34.696337589301585
Guatemala,0.066666667,0.0,0.066666667,0.044444444,0.800000004,247605000000.0,17602431.0,0.629,33.40638042703247
Tunisia,0.125,0.083333333,0.0625,0.090277778,1.708333332,170449000000.0,12458223.0,0.732,32.82373062770324
Dominica,0.020833333,0.0,0.0,0.006896552,0.20833332999999998,1285404930.0,73040.0,0.74,32.66683038682565
Spain,1.141666667,0.54775641,1.468673623,1.060605568,16.545039556,2553110000000.0,48373336.0,0.911,31.93127957925964
Cuba,0.132478632,0.055555556,0.243118401,0.159564146,2.033245346,810544740108.0,11194449.0,0.764,30.942450223484816
Norway,0.641666667,0.020833333,0.377777778,0.351245211,7.255555557999999,576576000000.0,5519594.0,0.966,30.874225491493274
Uganda,0.020833333,0.020833333,0.0,0.013793103,0.29166666199999997,150513000000.0,48582334.0,0.55,30.656189322413397
Armenia,0.0,0.211111111,0.027777778,0.079292929,0.8999999999999999,64044988615.0,2777970.0,0.786,29.623851549174184
Saint Lucia,0.020833333,0.020833333,0.0,0.013793103,0.29166666199999997,4529473246.0,180251.0,0.725,29.579296957238927
Italy,1.084230822,0.782304245,1.339998942,1.073722013,16.651523084,3452510000000.0,58761146.0,0.906,29.10966351293906
Canada,0.772747748,0.994893484,0.724491477,0.842621046,13.15603437,2469310000000.0,40097761.0,0.935,26.75843088697486
North Korea,0.0,0.325,0.219017094,0.197008547,1.738034188,300000000000.0,26160821.0,0.7237409326424872,25.246645975564
Slovenia,0.316666667,0.1,0.0,0.133333333,3.56666667,116540000000.0,2120937.0,0.926,25.163035037120775
Czech Republic,0.325,0.0,0.103741497,0.142157323,3.457482994,585187000000.0,10873689.0,0.895,25.113666665761436
Poland,0.25,0.434877622,0.625170068,0.429940968,5.489850624000001,1814630000000.0,36685849.0,0.881,24.36489894424183
Sweden,0.324887387,0.566666667,0.178787879,0.362288307,5.873116296,739741000000.0,10536632.0,0.952,20.39661707422185
Kyrgyzstan,0.0,0.132478632,0.111111111,0.088675214,0.75213675,50435329472.0,7100800.0,0.701,20.374764854528966
Indonesia,0.35,0.0,0.2,0.183333333,3.9,4333080000000.0,277534122.0,0.713,20.114742898248597
Jamaica,0.020833333,0.0625,0.040816327,0.04137931,0.539965984,32423133605.0,2825544.0,0.706,19.824099944968868
Romania,0.16988417,0.314285714,0.080409357,0.188580789,3.1168032699999997,912852000000.0,19056116.0,0.827,18.27093657549483
Moldova,0.0,0.055555556,0.125490196,0.067630385,0.473202616,43233050427.0,2486891.0,0.763,17.09655978163349
Bahrain,0.076388889,0.020833333,0.1,0.061015326,1.047222222,94846525692.0,1485509.0,0.888,16.944413237914873
South Africa,0.027027027,0.067982456,0.545454545,0.213629303,1.633109184,957414000000.0,60414495.0,0.717,15.859581803249604
Algeria,0.132478632,0.0,0.020408163,0.044309139,1.3656026460000001,776540000000.0,45606480.0,0.745,14.732806984354607
Ecuador,0.020833333,0.076388889,0.2,0.094348659,0.913888886,288688000000.0,18190484.0,0.765,14.630953726701238
Kosovo,0.0,0.066666667,0.033333333,0.033333333,0.333333334,26397157993.0,1756374.0,0.762,14.262973026411869
Cape Verde,0.0,0.0,0.038461538,0.019230769,0.076923076,5439764468.0,598682.0,0.661,14.133619893601583
Ivory Coast,0.0,0.0,0.0625,0.03125,0.125,224946000000.0,28873034.0,0.534,13.994385579161104
Tajikistan,0.0,0.0,0.105128205,0.052564103,0.21025641,51551228216.0,10143543.0,0.679,13.089442642952472
Switzerland,0.066666667,0.5,0.461327561,0.342414492,3.5893217920000002,822863000000.0,8849852.0,0.967,12.791910573300544
Thailand,0.125,0.4,0.138461538,0.217147436,3.126923076,1681800000000.0,71801279.0,0.803,11.88270108600969
Mexico,0.0,0.268589744,0.325,0.185897436,1.724358976,3288670000000.0,128455567.0,0.781,11.28966772184252
Austria,0.2,0.0,0.533333333,0.25,3.0666666659999997,673526000000.0,9132383.0,0.926,11.211741923492195
India,0.0,0.020833333,0.727777778,0.254118774,1.538888888,14537400000000.0,1428627663.0,0.644,10.859809512585699
Ireland,0.230934231,0.0,0.126984127,0.112058662,2.563310564,671603000000.0,5262382.0,0.95,10.761309947983483
Colombia,0.0,0.255555556,0.027777778,0.098737374,1.0777777800000001,1122330000000.0,52085168.0,0.758,10.578133402517063
Jordan,0.0,0.125,0.0,0.03125,0.5,118494000000.0,11337052.0,0.736,10.450586627019428
Grenada,0.0,0.0,0.040816327,0.013793103,0.081632654,2227647009.0,126183.0,0.793,10.187111705855722
Kazakhstan,0.066666667,0.188034188,0.138461538,0.126087801,1.695726498,782723000000.0,19900177.0,0.802,10.08866343656771
Botswana,0.020833333,0.020833333,0.0,0.013793103,0.29166666199999997,51856809571.0,2675352.0,0.708,10.038119301852207
Pakistan,0.020833333,0.0,0.0,0.006896552,0.20833332999999998,1493910000000.0,240485658.0,0.54,10.014110100814007
Philippines,0.111111111,0.0,0.076923077,0.074825175,1.264957264,1262020000000.0,117337368.0,0.71,9.937660474105712
Israel,0.1,0.344444444,0.033333333,0.153030303,2.4444444420000004,521339000000.0,9756700.0,0.915,9.173731129350639
Mongolia,0.0,0.066666667,0.0,0.016666667,0.266666668,62421131192.0,3447157.0,0.741,8.352053917973505
Chinese Taipei,0.276923077,0.0,0.296221323,0.198096348,3.361673416,1770000000000.0,23196178.0,0.926,8.287384280022307
Argentina,0.045454545,0.1,0.5,0.215151515,1.85454545,1369900000000.0,46654581.0,0.849,8.122552148395084
Hong Kong,0.166666667,0.0,0.055555556,0.073573574,1.7777777819999998,538692000000.0,7536100.0,0.956,7.0780289308297935
Greece,0.020833333,0.026315789,0.277007996,0.119158534,0.867612478,426749000000.0,10361295.0,0.893,6.723110857437326
Dominican Republic,0.020833333,0.0,0.076923077,0.04535809,0.362179484,290243000000.0,11332972.0,0.766,6.520627019530877
Portugal,0.045454545,0.066287879,0.033333333,0.053866249,0.786363632,513204000000.0,10525347.0,0.874,5.88585266822361
Zambia,0.0,0.0,0.020408163,0.006896552,0.040816326,84863032638.0,20569737.0,0.569,5.851316743614827
Belgium,0.111742424,0.020833333,0.252605133,0.144363898,1.705967838,832972000000.0,11822592.0,0.942,5.643725382118202
Chile,0.066666667,0.055555556,0.0,0.036111111,0.888888894,653361000000.0,19629590.0,0.86,5.468743443873532
Turkey,0.0,0.220512821,0.356517094,0.205608974,1.595085472,3767230000000.0,85326000.0,0.855,5.075396800140595
Malaysia,0.0,0.0,0.4,0.133333333,0.8,1277910000000.0,34308525.0,0.807,3.827802383055316
Albania,0.0,0.0,0.055555556,0.027777778,0.111111112,58750963483.0,2745972.0,0.789,3.7209976489413417
Cyprus,0.0,0.1,0.0,0.033333333,0.4,53033142805.0,1260138.0,0.907,3.6650157632914455
Panama,0.0,0.076923077,0.0,0.019230769,0.307692308,177361000000.0,4468087.0,0.82,3.4059371070965643
Peru,0.0,0.0,0.1,0.033333333,0.2,574288000000.0,34352719.0,0.762,2.435547025895738
Puerto Rico,0.0,0.0,0.048185941,0.020785441,0.096371882,152910000000.0,3205691.0,0.88,1.1881119272496927
Slovakia,0.0,0.0,0.058823529,0.020408163,0.117647058,242305000000.0,5426740.0,0.855,1.1776403191951965
Singapore,0.0,0.0,0.1,0.033333333,0.2,837348000000.0,5917648.0,0.949,0.7859350532352924
Qatar,0.0,0.0,0.020408163,0.006896552,0.040816326,337520000000.0,2716391.0,0.875,0.4596345487131759
