Country Name,Series Name,2023 [YR2023]
Afghanistan,"GDP, PPP (current international $)",..
Afghanistan,"Population, total",42239854
Africa Eastern and Southern,"GDP, PPP (current international $)",3.29625E+12
Africa Eastern and Southern,"Population, total",739108306
Africa Western and Central,"GDP, PPP (current international $)",2.70982E+12
Africa Western and Central,"Population, total",502789511
Albania,"GDP, PPP (current international $)",58750963483
Albania,"Population, total",2745972
Algeria,"GDP, PPP (current international $)",7.7654E+11
Algeria,"Population, total",45606480
American Samoa,"GDP, PPP (current international $)",..
American Samoa,"Population, total",43914
Andorra,"GDP, PPP (current international $)",5733298240
Andorra,"Population, total",80088
Angola,"GDP, PPP (current international $)",2.94961E+11
Angola,"Population, total",36684202
Antigua and Barbuda,"GDP, PPP (current international $)",2998900565
Antigua and Barbuda,"Population, total",94298
Arab World,"GDP, PPP (current international $)",8.47805E+12
Arab World,"Population, total",473272080
Argentina,"GDP, PPP (current international $)",1.3699E+12
Argentina,"Population, total",46654581
Armenia,"GDP, PPP (current international $)",64044988615
Armenia,"Population, total",2777970
Aruba,"GDP, PPP (current international $)",..
Aruba,"Population, total",106277
Australia,"GDP, PPP (current international $)",1.84112E+12
Australia,"Population, total",26638544
Austria,"GDP, PPP (current international $)",6.73526E+11
Austria,"Population, total",9132383
Azerbaijan,"GDP, PPP (current international $)",2.39521E+11
Azerbaijan,"Population, total",10112555
"Bahamas, The","GDP, PPP (current international $)",14670728026
"Bahamas, The","Population, total",412623
Bahrain,"GDP, PPP (current international $)",94846525692
Bahrain,"Population, total",1485509
Bangladesh,"GDP, PPP (current international $)",1.56795E+12
Bangladesh,"Population, total",172954319
Barbados,"GDP, PPP (current international $)",5458624997
Barbados,"Population, total",281995
Belarus,"GDP, PPP (current international $)",2.82246E+11
Belarus,"Population, total",9178298
Belgium,"GDP, PPP (current international $)",8.32972E+11
Belgium,"Population, total",11822592
Belize,"GDP, PPP (current international $)",5831789718
Belize,"Population, total",410825
Benin,"GDP, PPP (current international $)",58256355529
Benin,"Population, total",13712828
Bermuda,"GDP, PPP (current international $)",..
Bermuda,"Population, total",63489
Bhutan,"GDP, PPP (current international $)",..
Bhutan,"Population, total",787424
Bolivia,"GDP, PPP (current international $)",1.32892E+11
Bolivia,"Population, total",12388571
Bosnia and Herzegovina,"GDP, PPP (current international $)",73353464695
Bosnia and Herzegovina,"Population, total",3210847
Botswana,"GDP, PPP (current international $)",51856809571
Botswana,"Population, total",2675352
Brazil,"GDP, PPP (current international $)",4.45493E+12
Brazil,"Population, total",216422446
British Virgin Islands,"GDP, PPP (current international $)",..
British Virgin Islands,"Population, total",31538
Brunei Darussalam,"GDP, PPP (current international $)",39118736084
Brunei Darussalam,"Population, total",452524
Bulgaria,"GDP, PPP (current international $)",2.48788E+11
Bulgaria,"Population, total",6430370
Burkina Faso,"GDP, PPP (current international $)",63405458216
Burkina Faso,"Population, total",23251485
Burundi,"GDP, PPP (current international $)",12588278519
Burundi,"Population, total",13238559
Cabo Verde,"GDP, PPP (current international $)",5439764468
Cabo Verde,"Population, total",598682
Cambodia,"GDP, PPP (current international $)",95300031597
Cambodia,"Population, total",16944826
Cameroon,"GDP, PPP (current international $)",1.54127E+11
Cameroon,"Population, total",28647293
Canada,"GDP, PPP (current international $)",2.46931E+12
Canada,"Population, total",40097761
Caribbean small states,"GDP, PPP (current international $)",98750673199
Caribbean small states,"Population, total",3167738
Cayman Islands,"GDP, PPP (current international $)",..
Cayman Islands,"Population, total",69310
Central African Republic,"GDP, PPP (current international $)",6488703711
Central African Republic,"Population, total",5742315
Central Europe and the Baltics,"GDP, PPP (current international $)",4.83367E+12
Central Europe and the Baltics,"Population, total",100156608
Chad,"GDP, PPP (current international $)",35996041269
Chad,"Population, total",18278568
Channel Islands,"GDP, PPP (current international $)",..
Channel Islands,"Population, total",175346
Chile,"GDP, PPP (current international $)",6.53361E+11
Chile,"Population, total",19629590
China,"GDP, PPP (current international $)",3.46437E+13
China,"Population, total",1410710000
Colombia,"GDP, PPP (current international $)",1.12233E+12
Colombia,"Population, total",52085168
Comoros,"GDP, PPP (current international $)",3284569154
Comoros,"Population, total",852075
"Congo, Dem. Rep.","GDP, PPP (current international $)",1.70866E+11
"Congo, Dem. Rep.","Population, total",102262808
"Congo, Rep.","GDP, PPP (current international $)",42338545430
"Congo, Rep.","Population, total",6106869
Costa Rica,"GDP, PPP (current international $)",1.45693E+11
Costa Rica,"Population, total",5212173
Cote d'Ivoire,"GDP, PPP (current international $)",2.24946E+11
Cote d'Ivoire,"Population, total",28873034
Croatia,"GDP, PPP (current international $)",1.76899E+11
Croatia,"Population, total",3853200
Cuba,"GDP, PPP (current international $)",..
Cuba,"Population, total",11194449
Curacao,"GDP, PPP (current international $)",..
Curacao,"Population, total",147862
Cyprus,"GDP, PPP (current international $)",53033142805
Cyprus,"Population, total",1260138
Czechia,"GDP, PPP (current international $)",5.85187E+11
Czechia,"Population, total",10873689
Data from database: World Development Indicators,,
Denmark,"GDP, PPP (current international $)",4.56059E+11
Denmark,"Population, total",5946952
Djibouti,"GDP, PPP (current international $)",8187076865
Djibouti,"Population, total",1136455
Dominica,"GDP, PPP (current international $)",1285404930
Dominica,"Population, total",73040
Dominican Republic,"GDP, PPP (current international $)",2.90243E+11
Dominican Republic,"Population, total",11332972
Early-demographic dividend,"GDP, PPP (current international $)",4.56563E+13
Early-demographic dividend,"Population, total",3486290439
East Asia & Pacific,"GDP, PPP (current international $)",5.98276E+13
East Asia & Pacific,"Population, total",2380601170
East Asia & Pacific (excluding high income),"GDP, PPP (current international $)",4.53844E+13
East Asia & Pacific (excluding high income),"Population, total",2133652241
East Asia & Pacific (IDA & IBRD countries),"GDP, PPP (current international $)",4.5328E+13
East Asia & Pacific (IDA & IBRD countries),"Population, total",2107522258
Ecuador,"GDP, PPP (current international $)",2.88688E+11
Ecuador,"Population, total",18190484
"Egypt, Arab Rep.","GDP, PPP (current international $)",2.12093E+12
"Egypt, Arab Rep.","Population, total",112716598
El Salvador,"GDP, PPP (current international $)",79831081963
El Salvador,"Population, total",6364943
Equatorial Guinea,"GDP, PPP (current international $)",32104894669
Equatorial Guinea,"Population, total",1714671
Eritrea,"GDP, PPP (current international $)",..
Eritrea,"Population, total",3748901
Estonia,"GDP, PPP (current international $)",66932475062
Estonia,"Population, total",1366188
Eswatini,"GDP, PPP (current international $)",14216037436
Eswatini,"Population, total",1210822
Ethiopia,"GDP, PPP (current international $)",3.93408E+11
Ethiopia,"Population, total",126527060
Euro area,"GDP, PPP (current international $)",2.19274E+13
Euro area,"Population, total",350357398
Europe & Central Asia,"GDP, PPP (current international $)",4.59707E+13
Europe & Central Asia,"Population, total",923929755
Europe & Central Asia (excluding high income),"GDP, PPP (current international $)",6.9062E+12
Europe & Central Asia (excluding high income),"Population, total",247474425
Europe & Central Asia (IDA & IBRD countries),"GDP, PPP (current international $)",1.65081E+13
Europe & Central Asia (IDA & IBRD countries),"Population, total",457326090
European Union,"GDP, PPP (current international $)",2.71252E+13
European Union,"Population, total",449476878
Faroe Islands,"GDP, PPP (current international $)",..
Faroe Islands,"Population, total",53270
Fiji,"GDP, PPP (current international $)",14089135375
Fiji,"Population, total",936375
Finland,"GDP, PPP (current international $)",3.63316E+11
Finland,"Population, total",5584264
Fragile and conflict affected situations,"GDP, PPP (current international $)",5.81895E+12
Fragile and conflict affected situations,"Population, total",1042703808
France,"GDP, PPP (current international $)",4.16907E+12
France,"Population, total",68170228
French Polynesia,"GDP, PPP (current international $)",..
French Polynesia,"Population, total",308872
Gabon,"GDP, PPP (current international $)",53475291715
Gabon,"Population, total",2436566
"Gambia, The","GDP, PPP (current international $)",8770162651
"Gambia, The","Population, total",2773168
Georgia,"GDP, PPP (current international $)",92810510894
Georgia,"Population, total",3760365
Germany,"GDP, PPP (current international $)",5.85786E+12
Germany,"Population, total",84482267
Ghana,"GDP, PPP (current international $)",2.54767E+11
Ghana,"Population, total",34121985
Gibraltar,"GDP, PPP (current international $)",..
Gibraltar,"Population, total",32688
Greece,"GDP, PPP (current international $)",4.26749E+11
Greece,"Population, total",10361295
Greenland,"GDP, PPP (current international $)",..
Greenland,"Population, total",56865
Grenada,"GDP, PPP (current international $)",2227647009
Grenada,"Population, total",126183
Guam,"GDP, PPP (current international $)",..
Guam,"Population, total",172952
Guatemala,"GDP, PPP (current international $)",2.47605E+11
Guatemala,"Population, total",17602431
Guinea,"GDP, PPP (current international $)",62855095953
Guinea,"Population, total",14190612
Guinea-Bissau,"GDP, PPP (current international $)",5657343668
Guinea-Bissau,"Population, total",2150842
Guyana,"GDP, PPP (current international $)",44974521636
Guyana,"Population, total",813834
Haiti,"GDP, PPP (current international $)",38170408505
Haiti,"Population, total",11724763
Heavily indebted poor countries (HIPC),"GDP, PPP (current international $)",3.11231E+12
Heavily indebted poor countries (HIPC),"Population, total",907995430
High income,"GDP, PPP (current international $)",8.8868E+13
High income,"Population, total",1403021503
Honduras,"GDP, PPP (current international $)",76388585647
Honduras,"Population, total",10593798
"Hong Kong SAR, China","GDP, PPP (current international $)",5.38692E+11
"Hong Kong SAR, China","Population, total",7536100
Hungary,"GDP, PPP (current international $)",4.4058E+11
Hungary,"Population, total",9589872
IBRD only,"GDP, PPP (current international $)",9.69444E+13
IBRD only,"Population, total",4937047867
Iceland,"GDP, PPP (current international $)",30530446697
Iceland,"Population, total",393600
IDA & IBRD total,"GDP, PPP (current international $)",1.06564E+14
IDA & IBRD total,"Population, total",6819750360
IDA blend,"GDP, PPP (current international $)",3.97615E+12
IDA blend,"Population, total",622553200
IDA only,"GDP, PPP (current international $)",5.68666E+12
IDA only,"Population, total",1260149293
IDA total,"GDP, PPP (current international $)",9.63661E+12
IDA total,"Population, total",1882702493
India,"GDP, PPP (current international $)",1.45374E+13
India,"Population, total",1428627663
Indonesia,"GDP, PPP (current international $)",4.33308E+12
Indonesia,"Population, total",277534122
"Iran, Islamic Rep.","GDP, PPP (current international $)",1.59812E+12
"Iran, Islamic Rep.","Population, total",89172767
Iraq,"GDP, PPP (current international $)",6.35634E+11
Iraq,"Population, total",45504560
Ireland,"GDP, PPP (current international $)",6.71603E+11
Ireland,"Population, total",5262382
Isle of Man,"GDP, PPP (current international $)",..
Isle of Man,"Population, total",84710
Israel,"GDP, PPP (current international $)",5.21339E+11
Israel,"Population, total",9756700
Italy,"GDP, PPP (current international $)",3.45251E+12
Italy,"Population, total",58761146
Jamaica,"GDP, PPP (current international $)",32423133605
Jamaica,"Population, total",2825544
Japan,"GDP, PPP (current international $)",6.25156E+12
Japan,"Population, total",124516650
Jordan,"GDP, PPP (current international $)",1.18494E+11
Jordan,"Population, total",11337052
Kazakhstan,"GDP, PPP (current international $)",7.82723E+11
Kazakhstan,"Population, total",19900177
Kenya,"GDP, PPP (current international $)",3.4843E+11
Kenya,"Population, total",55100586
Kiribati,"GDP, PPP (current international $)",470205839.8
Kiribati,"Population, total",133515
"Korea, Dem. People's Rep.","GDP, PPP (current international $)",..
"Korea, Dem. People's Rep.","Population, total",26160821
"Korea, Rep.","GDP, PPP (current international $)",2.7942E+12
"Korea, Rep.","Population, total",51712619
Kosovo,"GDP, PPP (current international $)",26397157993
Kosovo,"Population, total",1756374
Kuwait,"GDP, PPP (current international $)",2.43031E+11
Kuwait,"Population, total",4310108
Kyrgyz Republic,"GDP, PPP (current international $)",50435329472
Kyrgyz Republic,"Population, total",7100800
Lao PDR,"GDP, PPP (current international $)",71194700821
Lao PDR,"Population, total",7633779
Last Updated: 06/28/2024,,
Late-demographic dividend,"GDP, PPP (current international $)",6.06234E+13
Late-demographic dividend,"Population, total",2326833223
Latin America & Caribbean,"GDP, PPP (current international $)",1.44937E+13
Latin America & Caribbean,"Population, total",664155299
Latin America & Caribbean (excluding high income),"GDP, PPP (current international $)",1.25566E+13
Latin America & Caribbean (excluding high income),"Population, total",600825676
Latin America & the Caribbean (IDA & IBRD countries),"GDP, PPP (current international $)",1.40893E+13
Latin America & the Caribbean (IDA & IBRD countries),"Population, total",648763330
Latvia,"GDP, PPP (current international $)",79976309217
Latvia,"Population, total",1881750
Least developed countries: UN classification,"GDP, PPP (current international $)",4.84853E+12
Least developed countries: UN classification,"Population, total",1150346774
Lebanon,"GDP, PPP (current international $)",..
Lebanon,"Population, total",5353930
Lesotho,"GDP, PPP (current international $)",6510587634
Lesotho,"Population, total",2330318
Liberia,"GDP, PPP (current international $)",9856286056
Liberia,"Population, total",5418377
Libya,"GDP, PPP (current international $)",1.35296E+11
Libya,"Population, total",6888388
Liechtenstein,"GDP, PPP (current international $)",..
Liechtenstein,"Population, total",39584
Lithuania,"GDP, PPP (current international $)",1.48985E+11
Lithuania,"Population, total",2871897
Low & middle income,"GDP, PPP (current international $)",9.52984E+13
Low & middle income,"Population, total",6593137026
Low income,"GDP, PPP (current international $)",1.7337E+12
Low income,"Population, total",722984063
Lower middle income,"GDP, PPP (current international $)",2.8479E+13
Lower middle income,"Population, total",3059564861
Luxembourg,"GDP, PPP (current international $)",95838968980
Luxembourg,"Population, total",668606
"Macao SAR, China","GDP, PPP (current international $)",79697811075
"Macao SAR, China","Population, total",704149
Madagascar,"GDP, PPP (current international $)",56864194678
Madagascar,"Population, total",30325732
Malawi,"GDP, PPP (current international $)",39093683846
Malawi,"Population, total",20931751
Malaysia,"GDP, PPP (current international $)",1.27791E+12
Malaysia,"Population, total",34308525
Maldives,"GDP, PPP (current international $)",12925857730
Maldives,"Population, total",521021
Mali,"GDP, PPP (current international $)",63497592544
Mali,"Population, total",23293698
Malta,"GDP, PPP (current international $)",34545825240
Malta,"Population, total",553214
Marshall Islands,"GDP, PPP (current international $)",314608252.7
Marshall Islands,"Population, total",41996
Mauritania,"GDP, PPP (current international $)",33721317284
Mauritania,"Population, total",4862989
Mauritius,"GDP, PPP (current international $)",37198780768
Mauritius,"Population, total",1261041
Mexico,"GDP, PPP (current international $)",3.28867E+12
Mexico,"Population, total",128455567
"Micronesia, Fed. Sts.","GDP, PPP (current international $)",485842846.3
"Micronesia, Fed. Sts.","Population, total",115224
Middle East & North Africa,"GDP, PPP (current international $)",1.04175E+13
Middle East & North Africa,"Population, total",500787313
Middle East & North Africa (excluding high income),"GDP, PPP (current international $)",6.18157E+12
Middle East & North Africa (excluding high income),"Population, total",430857111
Middle East & North Africa (IDA & IBRD countries),"GDP, PPP (current international $)",6.15203E+12
Middle East & North Africa (IDA & IBRD countries),"Population, total",425691336
Middle income,"GDP, PPP (current international $)",9.36073E+13
Middle income,"Population, total",5870152963
Moldova,"GDP, PPP (current international $)",43233050427
Moldova,"Population, total",2486891
Monaco,"GDP, PPP (current international $)",..
Monaco,"Population, total",36297
Mongolia,"GDP, PPP (current international $)",62421131192
Mongolia,"Population, total",3447157
Montenegro,"GDP, PPP (current international $)",19234815248
Montenegro,"Population, total",616177
Morocco,"GDP, PPP (current international $)",3.74409E+11
Morocco,"Population, total",37840044
Mozambique,"GDP, PPP (current international $)",56171634686
Mozambique,"Population, total",33897354
Myanmar,"GDP, PPP (current international $)",3.22296E+11
Myanmar,"Population, total",54577997
Namibia,"GDP, PPP (current international $)",33220228537
Namibia,"Population, total",2604172
Nauru,"GDP, PPP (current international $)",161929678.2
Nauru,"Population, total",12780
Nepal,"GDP, PPP (current international $)",1.60101E+11
Nepal,"Population, total",30896590
Netherlands,"GDP, PPP (current international $)",1.39845E+12
Netherlands,"Population, total",17879488
New Caledonia,"GDP, PPP (current international $)",..
New Caledonia,"Population, total",267940
New Zealand,"GDP, PPP (current international $)",2.82621E+11
New Zealand,"Population, total",5223100
Nicaragua,"GDP, PPP (current international $)",56678665270
Nicaragua,"Population, total",7046310
Niger,"GDP, PPP (current international $)",49436759012
Niger,"Population, total",27202843
Nigeria,"GDP, PPP (current international $)",1.41403E+12
Nigeria,"Population, total",223804632
North America,"GDP, PPP (current international $)",2.98374E+13
North America,"Population, total",375076145
North Macedonia,"GDP, PPP (current international $)",45068909110
North Macedonia,"Population, total",1811980
Northern Mariana Islands,"GDP, PPP (current international $)",..
Northern Mariana Islands,"Population, total",49796
Norway,"GDP, PPP (current international $)",5.76576E+11
Norway,"Population, total",5519594
Not classified,"GDP, PPP (current international $)",..
Not classified,"Population, total",..
OECD members,"GDP, PPP (current international $)",8.16537E+13
OECD members,"Population, total",1385005653
Oman,"GDP, PPP (current international $)",2.06309E+11
Oman,"Population, total",4644384
Other small states,"GDP, PPP (current international $)",4.46968E+11
Other small states,"Population, total",14240737
Pacific island small states,"GDP, PPP (current international $)",21595255450
Pacific island small states,"Population, total",2677728
Pakistan,"GDP, PPP (current international $)",1.49391E+12
Pakistan,"Population, total",240485658
Palau,"GDP, PPP (current international $)",315848005.8
Palau,"Population, total",18058
Panama,"GDP, PPP (current international $)",1.77361E+11
Panama,"Population, total",4468087
Papua New Guinea,"GDP, PPP (current international $)",47593932955
Papua New Guinea,"Population, total",10329931
Paraguay,"GDP, PPP (current international $)",1.19842E+11
Paraguay,"Population, total",6861524
Peru,"GDP, PPP (current international $)",5.74288E+11
Peru,"Population, total",34352719
Philippines,"GDP, PPP (current international $)",1.26202E+12
Philippines,"Population, total",117337368
Poland,"GDP, PPP (current international $)",1.81463E+12
Poland,"Population, total",36685849
Portugal,"GDP, PPP (current international $)",5.13204E+11
Portugal,"Population, total",10525347
Post-demographic dividend,"GDP, PPP (current international $)",7.22772E+13
Post-demographic dividend,"Population, total",1119478514
Pre-demographic dividend,"GDP, PPP (current international $)",4.81523E+12
Pre-demographic dividend,"Population, total",1065710613
Puerto Rico,"GDP, PPP (current international $)",1.5291E+11
Puerto Rico,"Population, total",3205691
Qatar,"GDP, PPP (current international $)",..
Qatar,"Population, total",2716391
Romania,"GDP, PPP (current international $)",9.12852E+11
Romania,"Population, total",19056116
Russian Federation,"GDP, PPP (current international $)",6.45231E+12
Russian Federation,"Population, total",143826130
Rwanda,"GDP, PPP (current international $)",47373720860
Rwanda,"Population, total",14094683
Samoa,"GDP, PPP (current international $)",1507687058
Samoa,"Population, total",225681
San Marino,"GDP, PPP (current international $)",..
San Marino,"Population, total",33642
Sao Tome and Principe,"GDP, PPP (current international $)",1405892498
Sao Tome and Principe,"Population, total",231856
Saudi Arabia,"GDP, PPP (current international $)",2.03178E+12
Saudi Arabia,"Population, total",36947025
Senegal,"GDP, PPP (current international $)",85849944842
Senegal,"Population, total",17763163
Serbia,"GDP, PPP (current international $)",1.81346E+11
Serbia,"Population, total",6618026
Seychelles,"GDP, PPP (current international $)",3915815375
Seychelles,"Population, total",119773
Sierra Leone,"GDP, PPP (current international $)",16234367685
Sierra Leone,"Population, total",8791092
Singapore,"GDP, PPP (current international $)",8.37348E+11
Singapore,"Population, total",5917648
Sint Maarten (Dutch part),"GDP, PPP (current international $)",2121010189
Sint Maarten (Dutch part),"Population, total",41163
Slovak Republic,"GDP, PPP (current international $)",2.42305E+11
Slovak Republic,"Population, total",5426740
Slovenia,"GDP, PPP (current international $)",1.1654E+11
Slovenia,"Population, total",2120937
Small states,"GDP, PPP (current international $)",5.67692E+11
Small states,"Population, total",20086203
Solomon Islands,"GDP, PPP (current international $)",2247079295
Solomon Islands,"Population, total",740424
Somalia,"GDP, PPP (current international $)",29234137744
Somalia,"Population, total",18143378
South Africa,"GDP, PPP (current international $)",9.57414E+11
South Africa,"Population, total",60414495
South Asia,"GDP, PPP (current international $)",1.81988E+13
South Asia,"Population, total",1938549529
South Asia (IDA & IBRD),"GDP, PPP (current international $)",1.81988E+13
South Asia (IDA & IBRD),"Population, total",1938549529
South Sudan,"GDP, PPP (current international $)",..
South Sudan,"Population, total",11088796
Spain,"GDP, PPP (current international $)",2.55311E+12
Spain,"Population, total",48373336
Sri Lanka,"GDP, PPP (current international $)",3.18551E+11
Sri Lanka,"Population, total",22037000
St. Kitts and Nevis,"GDP, PPP (current international $)",1595151988
St. Kitts and Nevis,"Population, total",47755
St. Lucia,"GDP, PPP (current international $)",4529473246
St. Lucia,"Population, total",180251
St. Martin (French part),"GDP, PPP (current international $)",..
St. Martin (French part),"Population, total",32077
St. Vincent and the Grenadines,"GDP, PPP (current international $)",2061069216
St. Vincent and the Grenadines,"Population, total",103698
Sub-Saharan Africa,"GDP, PPP (current international $)",6.0061E+12
Sub-Saharan Africa,"Population, total",1241897817
Sub-Saharan Africa (excluding high income),"GDP, PPP (current international $)",6.00219E+12
Sub-Saharan Africa (excluding high income),"Population, total",1241778044
Sub-Saharan Africa (IDA & IBRD countries),"GDP, PPP (current international $)",6.0061E+12
Sub-Saharan Africa (IDA & IBRD countries),"Population, total",1241897817
Sudan,"GDP, PPP (current international $)",1.50926E+11
Sudan,"Population, total",48109006
Suriname,"GDP, PPP (current international $)",13117361868
Suriname,"Population, total",623236
Sweden,"GDP, PPP (current international $)",7.39741E+11
Sweden,"Population, total",10536632
Switzerland,"GDP, PPP (current international $)",8.22863E+11
Switzerland,"Population, total",8849852
Syrian Arab Republic,"GDP, PPP (current international $)",..
Syrian Arab Republic,"Population, total",23227014
Tajikistan,"GDP, PPP (current international $)",51551228216
Tajikistan,"Population, total",10143543
Tanzania,"GDP, PPP (current international $)",2.59661E+11
Tanzania,"Population, total",67438106
Thailand,"GDP, PPP (current international $)",1.6818E+12
Thailand,"Population, total",71801279
Timor-Leste,"GDP, PPP (current international $)",6950883640
Timor-Leste,"Population, total",1360596
Togo,"GDP, PPP (current international $)",28567633064
Togo,"Population, total",9053799
Tonga,"GDP, PPP (current international $)",..
Tonga,"Population, total",107773
Trinidad and Tobago,"GDP, PPP (current international $)",48461186026
Trinidad and Tobago,"Population, total",1534937
Tunisia,"GDP, PPP (current international $)",1.70449E+11
Tunisia,"Population, total",12458223
Turkiye,"GDP, PPP (current international $)",3.76723E+12
Turkiye,"Population, total",85326000
Turkmenistan,"GDP, PPP (current international $)",..
Turkmenistan,"Population, total",6516100
Turks and Caicos Islands,"GDP, PPP (current international $)",1143238489
Turks and Caicos Islands,"Population, total",46062
Tuvalu,"GDP, PPP (current international $)",65680332.2
Tuvalu,"Population, total",11396
Uganda,"GDP, PPP (current international $)",1.50513E+11
Uganda,"Population, total",48582334
Ukraine,"GDP, PPP (current international $)",6.21258E+11
Ukraine,"Population, total",37000000
United Arab Emirates,"GDP, PPP (current international $)",7.98491E+11
United Arab Emirates,"Population, total",9516871
United Kingdom,"GDP, PPP (current international $)",4.02624E+12
United Kingdom,"Population, total",68350000
United States,"GDP, PPP (current international $)",2.73609E+13
United States,"Population, total",334914895
Upper middle income,"GDP, PPP (current international $)",6.50881E+13
Upper middle income,"Population, total",2810588102
Uruguay,"GDP, PPP (current international $)",1.16596E+11
Uruguay,"Population, total",3423108
Uzbekistan,"GDP, PPP (current international $)",3.541E+11
Uzbekistan,"Population, total",36412350
Vanuatu,"GDP, PPP (current international $)",1108911959
Vanuatu,"Population, total",334506
"Venezuela, RB","GDP, PPP (current international $)",..
"Venezuela, RB","Population, total",28838499
Viet Nam,"GDP, PPP (current international $)",1.5021E+12
Viet Nam,"Population, total",98858950
Virgin Islands (U.S.),"GDP, PPP (current international $)",..
Virgin Islands (U.S.),"Population, total",104917
West Bank and Gaza,"GDP, PPP (current international $)",30418120122
West Bank and Gaza,"Population, total",5165775
World,"GDP, PPP (current international $)",1.84654E+14
World,"Population, total",8024997028
"Yemen, Rep.","GDP, PPP (current international $)",..
"Yemen, Rep.","Population, total",34449825
Zambia,"GDP, PPP (current international $)",84863032638
Zambia,"Population, total",20569737
Zimbabwe,"GDP, PPP (current international $)",64993415785
Zimbabwe,"Population, total",16665409
